,ADIG,AVAG,AQUE,ACAL,BPLA,BGLA,BFLO,CELE,CTEL,CFAR,CINT,CGIG,CVIR,DRER,DPUL,DMEL,EMUL,EPAL,HROB,HSAP,LLUY,LANA,LGIG,MLIG,MYES,MLEI,MPHI,NGEN,OBIM,PYES,PAUS,SKOW,SMAN,SMED,SPUR,TKIT,TADH,Total
OG0000097,9,33,5,17,21,13,52,9,8,28,20,28,15,12,7,15,11,7,7,15,7,11,11,31,26,12,28,3,8,18,2,11,8,29,21,4,5,567
OG0000098,6,24,11,49,12,26,39,39,17,13,11,13,13,2,11,4,1,11,7,6,6,10,12,29,15,2,24,18,22,15,11,27,1,5,30,2,21,565
OG0000099,30,33,3,12,14,7,15,13,15,11,8,16,21,61,11,28,7,27,21,18,16,16,9,9,21,5,16,10,15,10,10,9,11,22,9,0,5,564
OG0000100,11,0,16,23,11,28,22,3,8,16,8,32,39,35,16,12,1,11,1,9,15,25,19,49,33,3,12,14,15,15,9,30,1,5,11,0,4,562
OG0000101,5,6,3,14,29,12,76,11,38,8,11,9,7,34,14,27,3,9,28,13,13,5,24,15,8,6,14,18,32,14,9,12,4,7,18,1,1,558
OG0000102,17,0,0,5,22,24,93,0,4,16,0,42,17,12,0,0,0,2,3,0,81,26,9,27,10,20,23,47,0,4,12,35,0,2,0,0,0,553
OG0000103,13,34,7,11,10,17,8,9,5,6,24,22,15,53,5,42,9,11,13,11,7,24,7,30,32,13,3,4,26,5,7,30,8,13,8,4,5,551
OG0000104,27,7,19,10,8,23,25,7,9,12,17,23,22,62,8,12,1,25,4,24,8,30,13,3,32,0,12,13,18,13,11,11,2,5,34,0,1,551
OG0000105,0,7,0,19,14,23,33,8,15,17,13,43,60,41,6,12,1,1,8,15,13,42,15,2,30,0,21,15,29,15,7,5,4,6,8,0,0,548
OG0000106,7,2,0,10,8,7,124,0,1,22,6,9,8,10,6,0,0,12,1,4,20,60,13,3,19,8,12,13,4,24,12,77,0,0,30,12,0,544
OG0000107,28,0,1,26,21,37,21,2,14,8,25,17,15,8,2,3,0,22,2,3,9,10,5,2,16,15,33,12,3,17,12,8,0,2,70,0,62,531
OG0000108,12,16,3,19,14,12,51,13,7,22,18,17,18,5,33,28,0,7,4,13,2,19,9,3,56,6,24,9,9,22,6,17,0,0,11,0,26,531
